arm,lambda,step,own_epoch,global_epoch,val_distortion,val_psnr_db,val_rate_bpp_proxy,val_total_objective,latent_abs_mean,latent_std,latent_range,bin_width,rate_loc_mean,rate_loc_std,rate_scale_mean,rate_scale_std,rate_grad_norm,sha256,path
CENTER,0.00090757,604,1,41,0.0013192903063910823,29.484266350068243,0.7253986496523203,0.0019776403570143752,4.410737037658691,6.6236491203308105,81.04776000976562,3.10294246673584,0.1634518802165985,1.8818268775939941,4.333066940307617,2.5884041786193848,7.48690542114854e-06,114710aa957695e085b38babdf9fedb883dee1e182e47989a1dc645106ff3a66,outputs\m10d_lambda_refinement\lambda_9.0757e-4\snapshot_step000604.pt
CENTER,0.00090757,1812,3,43,0.0013652231824073761,29.285861325551227,0.68946468686483,0.0019909606514363944,3.3640902042388916,5.087925434112549,64.97728729248047,2.2112486362457275,0.43580201268196106,2.673774480819702,2.74814772605896,1.824863314628601,7.91457464125364e-06,be640cbd568a59750187a286455ea178052e1d1ad36a237e3c39e88d91d87334,outputs\m10d_lambda_refinement\lambda_9.0757e-4\snapshot_step001812.pt
CENTER,0.00090757,4832,8,48,0.0013057353102646947,29.518073254320996,0.6594974269349891,0.001904275398757533,2.5196499824523926,3.7528107166290283,47.068763732910156,1.347458839416504,0.4115915894508362,2.2952685356140137,1.5588347911834717,1.3213328123092651,4.405250632015766e-06,09e4407bb5552e9dde44f33d3dbcef34710fabff60a83f6bc86b7ddcf9b7cc17,outputs\m10d_lambda_refinement\lambda_9.0757e-4\snapshot_step004832.pt
CENTER,0.00090757,10268,17,57,0.0012615561374485582,29.675935952060193,0.6475502568555166,0.0018492533239053495,1.928985834121704,3.0906314849853516,41.62251281738281,0.9578841924667358,0.35690104961395264,2.064512252807617,1.1040382385253906,1.1869269609451294,7.464688999718018e-06,502dfd3ac59137308b806c9dbca0d004ae884a1007042959fae1505cb54c83b2,outputs\m10d_lambda_refinement\lambda_9.0757e-4\snapshot_step010268.pt
CENTER,0.00090757,18120,30,70,0.0012090740383866366,29.861321851431605,0.6340100556971079,0.0017844825654840433,1.8877179622650146,2.8885481357574463,51.3423957824707,0.8661128282546997,0.2655407190322876,2.0616977214813232,1.0268847942352295,1.2394912242889404,6.393653808142435e-06,4da87671746ad88988e3ef40252ab015436a7cf3e903b86131c7905c3d14fbfb,outputs\m10d_lambda_refinement\lambda_9.0757e-4\snapshot_step018120.pt
HIGH,0.00135,604,1,41,0.0013811509415972978,29.231315635773072,0.7052964295249388,0.0023333011447530553,3.6926722526550293,5.506768703460693,68.05450439453125,2.710392951965332,0.16362251341342926,1.8860998153686523,3.646580219268799,2.1801342964172363,1.2456116410327366e-05,67d879d14d4b34f2bebff06c81835e81d77ad721d40e3128220a26c178f1280e,outputs\m10d_lambda_refinement\lambda_1.35e-3\snapshot_step000604.pt
HIGH,0.00135,1812,3,43,0.0013469470950988043,29.373213388833655,0.672261526067573,0.0022545001730435044,2.696133613586426,3.925593852996826,50.434234619140625,1.7373595237731934,0.3593076467514038,2.3671517372131348,2.0693650245666504,1.390791416168213,1.1397189830011037e-05,336d0ee622c8cdf311ffcf6064bb0ee180faa5d305dc7af03948507788bf10c0,outputs\m10d_lambda_refinement\lambda_1.35e-3\snapshot_step001812.pt
HIGH,0.00135,4832,8,48,0.0013298752054246704,29.432110889848456,0.6501381548054247,0.0022075617467109338,1.9545502662658691,2.8876304626464844,37.41400909423828,0.9708870649337769,0.3070507049560547,1.8806021213531494,1.1143442392349243,1.0215920209884644,7.302845046747359e-06,3770263afa447b746bc34426594b7d8d7947f86234fb0180d71cefd4720dd614,outputs\m10d_lambda_refinement\lambda_1.35e-3\snapshot_step004832.pt
HIGH,0.00135,10268,17,57,0.0013176454367895935,29.43931625550052,0.6414863621614065,0.0021836520411096603,1.5951955318450928,2.5940723419189453,36.665409088134766,0.7280451655387878,0.23521688580513,1.747133731842041,0.8535529375076294,1.0058408975601196,1.284805098336532e-05,209a7d13af7a6e03cbc3df1463a631600b4a27013edf2c583d3063257b45cd50,outputs\m10d_lambda_refinement\lambda_1.35e-3\snapshot_step010268.pt
HIGH,0.00135,18120,30,70,0.0012366354748808656,29.74801787410874,0.6287644555769771,0.0020854675115635954,1.5842881202697754,2.4738473892211914,45.99486541748047,0.6929028630256653,0.1882605254650116,1.787463903427124,0.8405388593673706,1.115615963935852,8.54798117804943e-06,a021bf27b4227184177dfe116d4406bd07877517934a2b963d2c1ba4ddbfbfb3,outputs\m10d_lambda_refinement\lambda_1.35e-3\snapshot_step018120.pt
VERY_HIGH,0.0018,604,1,41,0.0014157760099378829,29.09841496111399,0.6908342041164995,0.0026592775500458047,3.229705810546875,4.771864414215088,59.546104431152344,2.4281399250030518,0.17043215036392212,1.8555396795272827,3.17230224609375,1.901539921760559,1.7599804269198988e-05,90593692f43133aaeb2ffd5bcf2200cb445c3dbda4f64eeece96a188a7be1d05,outputs\m10d_lambda_refinement\lambda_1.8e-3\snapshot_step000604.pt
VERY_HIGH,0.0018,1812,3,43,0.0014071127505698073,29.16488737083343,0.666550392846027,0.002606903425844229,2.184412956237793,3.216392993927002,42.49182891845703,1.4184410572052002,0.31728389859199524,1.910369634628296,1.658264398574829,1.132511854171753,1.668951507253785e-05,4e04453eb47231f1fe1ffcecdae9865825e827874373adbc87357edf19242570,outputs\m10d_lambda_refinement\lambda_1.8e-3\snapshot_step001812.pt
VERY_HIGH,0.0018,4832,8,48,0.0013547500536541443,29.34267163563924,0.6445682282189289,0.002514972836789058,1.652059555053711,2.4216833114624023,32.21001434326172,0.7732464075088501,0.2508123517036438,1.6325595378875732,0.8877305388450623,0.8608819842338562,1.067040753493967e-05,073b1106d60e0b8f53e6ebe70b3cae1f36c0799a835c065b8ff4210979561aa7,outputs\m10d_lambda_refinement\lambda_1.8e-3\snapshot_step004832.pt
VERY_HIGH,0.0018,10268,17,57,0.00135547837560873,29.290519461574323,0.6369042956685446,0.0025019060921327896,1.4072089195251465,2.3233678340911865,33.78879165649414,0.6070374250411987,0.17786264419555664,1.5646336078643799,0.7244290113449097,0.8990446925163269,2.020149501138604e-05,c7f6196fa14e0f78929ca535bcf3a28508b5e7ca4f57d7bbd8c9f28c3b6d588d,outputs\m10d_lambda_refinement\lambda_1.8e-3\snapshot_step010268.pt
VERY_HIGH,0.0018,18120,30,70,0.001277944090262796,29.574676329831043,0.6230304004198097,0.002399398793791791,1.3845207691192627,2.2058544158935547,43.415218353271484,0.5878711938858032,0.1595461070537567,1.6239299774169922,0.7107300758361816,1.0330755710601807,1.1895553529748769e-05,18c99b739888c98de637ab4d8cbeef156da37f063ad1c968c42eeeead71eac56,outputs\m10d_lambda_refinement\lambda_1.8e-3\snapshot_step018120.pt
