run,lambda_name,lambda,seed,step,own_epoch,global_epoch,val_distortion,val_psnr_db,val_rate_bpp_proxy,val_total_objective,latent_mean,latent_std,latent_abs_mean,latent_range,bin_width,rate_loc_mean,rate_loc_std,rate_scale_mean,rate_scale_std,rate_grad_norm,sha256,path
LOWER@s42,LOWER,0.0003,42,604,1,41,0.001300297887906073,29.554488354418652,0.7657133577817894,0.0015300119061483048,0.6471072435379028,8.7523193359375,5.788407325744629,104.09783935546875,3.772902250289917,0.1671043038368225,1.743142008781433,5.572967529296875,3.2632875442504883,2.021486862518615e-06,bfeb20a07d5c75e556a1e65f8009c988f8d7a43d2fa4643166f05321ae14c86a,outputs\m10e_lambda_lock\lambda_3.0e-04_seed42\snapshot_step000604.pt
LOWER@s42,LOWER,0.0003,42,1812,3,43,0.001308366094564413,29.509265922638306,0.7292408462030342,0.0015271383517208588,0.38192784786224365,8.080582618713379,5.275088310241699,95.70616149902344,3.2788124084472656,0.5263042449951172,3.300039529800415,4.568621635437012,2.8889269828796387,2.3797808360795944e-06,73dccba8c6d8a6449c064c17a16c7ac7c0d1f1d8eafc44d3cecd75edfd886b6e,outputs\m10e_lambda_lock\lambda_3.0e-04_seed42\snapshot_step001812.pt
LOWER@s42,LOWER,0.0003,42,4832,8,48,0.0012732259978270944,29.642346784292933,0.6973173998924623,0.0014824212194947772,0.6492834091186523,6.806172847747803,4.515191078186035,77.03213500976562,2.5615830421447754,0.6842051148414612,3.606682062149048,3.2529261112213135,2.3025848865509033,1.5935404924652267e-06,a2b647c37b3fccafe0cdffb238703a38ec179c3090fbf19e51c8da9e799e8d6f,outputs\m10e_lambda_lock\lambda_3.0e-04_seed42\snapshot_step004832.pt
LOWER@s42,LOWER,0.0003,42,10268,17,57,0.0012748993071306676,29.597721490515283,0.6776305810514703,0.0014781884846266314,0.48628729581832886,5.361952304840088,3.3142528533935547,63.85514450073242,2.002286195755005,0.6454811096191406,3.230116844177246,2.379568576812744,1.9262311458587646,2.4531417868168324e-06,d8098378356ac3f4f5cd2be9636d598638525d8c8168520bba6bfb2f6a18fbcc,outputs\m10e_lambda_lock\lambda_3.0e-04_seed42\snapshot_step010268.pt
LOWER@s42,LOWER,0.0003,42,18120,30,70,0.0011873063207071006,29.95036587083196,0.6577421046165098,0.0013846289678560906,0.7999571561813354,4.72393274307251,3.108337879180908,70.02851104736328,1.718285083770752,0.6383552551269531,3.0475656986236572,2.025423049926758,1.8336735963821411,1.2766605045740324e-06,93c094469abe6b97c5b683ca116f85681d41c8464b1eb6da49517f32609de407,outputs\m10e_lambda_lock\lambda_3.0e-04_seed42\snapshot_step018120.pt
LOWER@s43,LOWER,0.0003,43,604,1,41,0.0012992273652168687,29.558201433664344,0.7667435816971653,0.0015292504489567715,1.0634429454803467,8.368070602416992,5.986968040466309,101.58132934570312,3.783982753753662,0.15331298112869263,1.7273489236831665,5.5938239097595215,3.2494795322418213,2.2562505390836595e-06,a707175c76d56fc9db5daa565d73f7f77dfc18fbcf3710a100a6db809c1cf861,outputs\m10e_lambda_lock\lambda_3.0e-04_seed43\snapshot_step000604.pt
LOWER@s43,LOWER,0.0003,43,1812,3,43,0.0013533406035346259,29.30567941320948,0.7304994090493903,0.0015724904362549893,0.5753971338272095,6.666045665740967,4.649360656738281,83.81904602050781,3.254049777984619,0.5084720253944397,3.395780324935913,4.5249481201171875,2.8281195163726807,2.7209280666635034e-06,8ff6e73325ce33880aefe7d8f1147fb41d4bbae04b8e68e1273591075ad3b4df,outputs\m10e_lambda_lock\lambda_3.0e-04_seed43\snapshot_step001812.pt
LOWER@s43,LOWER,0.0003,43,4832,8,48,0.0012781171475997172,29.621405130409332,0.6963623489242002,0.0014870258662513043,0.4774925112724304,6.750959396362305,4.338923931121826,103.57264709472656,2.587981700897217,0.6816533207893372,3.6194193363189697,3.166295051574707,2.1406054496765137,1.9005033154776882e-06,e1a7a67e78cb66ea2f4683dfd767fb2796cae3dbe728046d8d3b5c4dc467da2b,outputs\m10e_lambda_lock\lambda_3.0e-04_seed43\snapshot_step004832.pt
LOWER@s43,LOWER,0.0003,43,10268,17,57,0.0012381513145785913,29.76658733781562,0.6765630510916193,0.0014411202482514486,0.6549090147018433,5.527174949645996,3.4406142234802246,79.15715789794922,2.007753610610962,0.6453238129615784,3.1552631855010986,2.3868093490600586,1.861953854560852,2.00123923463249e-06,36dde82c79f5108852c981648285b209709b38da3b1b72f738443a0815eec9b9,outputs\m10e_lambda_lock\lambda_3.0e-04_seed43\snapshot_step010268.pt
LOWER@s43,LOWER,0.0003,43,18120,30,70,0.001184939068436331,29.96191619964967,0.658313905618277,0.0013824332476010074,0.63288414478302,4.271215438842773,2.870986223220825,60.087860107421875,1.716914176940918,0.6332017779350281,3.0511114597320557,2.0058398246765137,1.9274872541427612,1.6542027525469224e-06,8f746a1ee084322369ba77e97416a8d81e081270e751021f916070c859747bcc,outputs\m10e_lambda_lock\lambda_3.0e-04_seed43\snapshot_step018120.pt
